"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2014",67.452423,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2015",67.571083,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2016",67.597321,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2017",67.160423,
"CHE","EMPEDU","BUPPSRY","PC_25_64","A","2018",68.587822,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2014",66.36348,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2015",65.891991,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2016",65.544815,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.798889,
"KOR","EMPEDU","BUPPSRY","PC_25_64","A","2018",64.728958,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2014",60.264725,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2015",57.987846,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2016",61.366207,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2017",65.3769,
"EST","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.051361,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2014",61.684273,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2015",60.525166,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2016",63.470657,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2017",62.082375,
"DNK","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.032516,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2014",32.682098,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2015",34.454655,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2016",37.67197,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2017",39.054001,
"SVK","EMPEDU","BUPPSRY","PC_25_64","A","2018",38.262417,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2014",54.84893,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2015",54.681458,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2016",56.593254,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2017",55.559578,
"USA","EMPEDU","BUPPSRY","PC_25_64","A","2018",56.757965,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2014",50.764965,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2015",50.911934,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2016",51.428822,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2017",52.307957,
"TUR","EMPEDU","BUPPSRY","PC_25_64","A","2018",52.440334,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2014",53.03339,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2015",52.858994,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2016",53.937981,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2017",54.064987,
"AUT","EMPEDU","BUPPSRY","PC_25_64","A","2018",55.321404,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2014",46.932018,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2015",48.528072,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2016",48.495949,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2017",49.611893,
"GRC","EMPEDU","BUPPSRY","PC_25_64","A","2018",50.366364,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2014",60.05061,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2015",60.144756,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2016",61.296593,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2017",62.649063,
"GBR","EMPEDU","BUPPSRY","PC_25_64","A","2018",65.719254,
"NLD","EMPEDU","BUPPSRY","PC_25_64","A","2014",58.752262,
