"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","Q","2017-Q4",73.48578,
"AUS","EMP","TOT","PC_WKGPOP","Q","2018-Q1",73.66441,
"AUS","EMP","TOT","PC_WKGPOP","Q","2018-Q2",73.61531,
"AUS","EMP","TOT","PC_WKGPOP","Q","2018-Q3",73.75335,
"AUS","EMP","TOT","PC_WKGPOP","Q","2018-Q4",73.98618,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q1",74.13726,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.2279,
"AUS","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.42193,
"AUT","EMP","TOT","PC_WKGPOP","Q","2017-Q4",72.60583,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q1",72.74001,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q2",73.02288,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q3",73.08935,
"AUT","EMP","TOT","PC_WKGPOP","Q","2018-Q4",73.18864,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q1",73.41875,
"AUT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",73.44916,
"BEL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",63.92149,
"BEL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",64.12547,
"BEL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",63.83403,
"BEL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",64.91714,
"BEL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",65.02593,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",64.72373,
"BEL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.62215,
"CAN","EMP","TOT","PC_WKGPOP","Q","2017-Q4",73.8,
"CAN","EMP","TOT","PC_WKGPOP","Q","2018-Q1",73.66666,
"CAN","EMP","TOT","PC_WKGPOP","Q","2018-Q2",73.66666,
"CAN","EMP","TOT","PC_WKGPOP","Q","2018-Q3",73.8,
"CAN","EMP","TOT","PC_WKGPOP","Q","2018-Q4",74.06667,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",74.2,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.53333,
"CAN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",74.53333,
"CZE","EMP","TOT","PC_WKGPOP","Q","2017-Q4",74.15258,
"CZE","EMP","TOT","PC_WKGPOP","Q","2018-Q1",74.45071,
"CZE","EMP","TOT","PC_WKGPOP","Q","2018-Q2",74.76062,
"CZE","EMP","TOT","PC_WKGPOP","Q","2018-Q3",74.87592,
"CZE","EMP","TOT","PC_WKGPOP","Q","2018-Q4",75.19341,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q1",75.2787,
"CZE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.07122,
"DNK","EMP","TOT","PC_WKGPOP","Q","2017-Q4",73.68385,
"DNK","EMP","TOT","PC_WKGPOP","Q","2018-Q1",73.73301,
"DNK","EMP","TOT","PC_WKGPOP","Q","2018-Q2",74.11543,
"DNK","EMP","TOT","PC_WKGPOP","Q","2018-Q3",74.27173,
"DNK","EMP","TOT","PC_WKGPOP","Q","2018-Q4",74.39713,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q1",74.62945,
"DNK","EMP","TOT","PC_WKGPOP","Q","2019-Q2",74.81154,
"FIN","EMP","TOT","PC_WKGPOP","Q","2017-Q4",70.95245,
"FIN","EMP","TOT","PC_WKGPOP","Q","2018-Q1",71.34499,
"FIN","EMP","TOT","PC_WKGPOP","Q","2018-Q2",72.07048,
"FIN","EMP","TOT","PC_WKGPOP","Q","2018-Q3",72.10268,
"FIN","EMP","TOT","PC_WKGPOP","Q","2018-Q4",72.72666,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",72.66253,
"FIN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",72.72552,
"FRA","EMP","TOT","PC_WKGPOP","Q","2017-Q4",65.17429,
"FRA","EMP","TOT","PC_WKGPOP","Q","2018-Q1",65.2061,
"FRA","EMP","TOT","PC_WKGPOP","Q","2018-Q2",65.24002,
"FRA","EMP","TOT","PC_WKGPOP","Q","2018-Q3",65.40687,
"FRA","EMP","TOT","PC_WKGPOP","Q","2018-Q4",65.55326,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q1",65.51916,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",65.4551,
"FRA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",65.18022,
"DEU","EMP","TOT","PC_WKGPOP","Q","2017-Q4",75.57585,
"DEU","EMP","TOT","PC_WKGPOP","Q","2018-Q1",75.67986,
"DEU","EMP","TOT","PC_WKGPOP","Q","2018-Q2",75.74055,
"DEU","EMP","TOT","PC_WKGPOP","Q","2018-Q3",76.04922,
"DEU","EMP","TOT","PC_WKGPOP","Q","2018-Q4",76.2159,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q1",76.43871,
"DEU","EMP","TOT","PC_WKGPOP","Q","2019-Q2",76.64059,
"GRC","EMP","TOT","PC_WKGPOP","Q","2017-Q4",53.80124,
"GRC","EMP","TOT","PC_WKGPOP","Q","2018-Q1",54.16976,
"GRC","EMP","TOT","PC_WKGPOP","Q","2018-Q2",54.77449,
"GRC","EMP","TOT","PC_WKGPOP","Q","2018-Q3",55.15903,
"GRC","EMP","TOT","PC_WKGPOP","Q","2018-Q4",55.55891,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q1",55.87426,
"GRC","EMP","TOT","PC_WKGPOP","Q","2019-Q2",56.54865,
"HUN","EMP","TOT","PC_WKGPOP","Q","2017-Q4",68.697,
"HUN","EMP","TOT","PC_WKGPOP","Q","2018-Q1",69.04476,
"HUN","EMP","TOT","PC_WKGPOP","Q","2018-Q2",69.23213,
"HUN","EMP","TOT","PC_WKGPOP","Q","2018-Q3",69.23924,
"HUN","EMP","TOT","PC_WKGPOP","Q","2018-Q4",69.47409,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",70.15043,
"HUN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",69.95881,
"ISL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",85.57971,
"ISL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",85.06656,
"ISL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",84.32266,
"ISL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",85.40195,
"ISL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",85.56342,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",85.55746,
"ISL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",84.59485,
"IRL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",68.13272,
"IRL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",68.26374,
"IRL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",68.60491,
"IRL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",68.76054,
"IRL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",68.94345,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",69.62035,
"IRL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",69.18569,
"ITA","EMP","TOT","PC_WKGPOP","Q","2017-Q4",58.22951,
"ITA","EMP","TOT","PC_WKGPOP","Q","2018-Q1",58.25291,
"ITA","EMP","TOT","PC_WKGPOP","Q","2018-Q2",58.65236,
"ITA","EMP","TOT","PC_WKGPOP","Q","2018-Q3",58.59313,
"ITA","EMP","TOT","PC_WKGPOP","Q","2018-Q4",58.62439,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q1",58.78576,
"ITA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",58.99025,
"JPN","EMP","TOT","PC_WKGPOP","Q","2017-Q4",75.78762,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q1",76.4099,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q2",76.83665,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q3",76.98596,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q4",77.31686,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",77.47514,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.59975,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.91701,
"KOR","EMP","TOT","PC_WKGPOP","Q","2017-Q4",66.6712,
"KOR","EMP","TOT","PC_WKGPOP","Q","2018-Q1",66.74883,
"KOR","EMP","TOT","PC_WKGPOP","Q","2018-Q2",66.603,
"KOR","EMP","TOT","PC_WKGPOP","Q","2018-Q3",66.49708,
"KOR","EMP","TOT","PC_WKGPOP","Q","2018-Q4",66.60307,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q1",66.70626,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",66.66145,
"KOR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",66.8748,
"LUX","EMP","TOT","PC_WKGPOP","Q","2017-Q4",66.12994,
"LUX","EMP","TOT","PC_WKGPOP","Q","2018-Q1",67.05841,
"LUX","EMP","TOT","PC_WKGPOP","Q","2018-Q2",66.52231,
"LUX","EMP","TOT","PC_WKGPOP","Q","2018-Q3",66.91349,
"LUX","EMP","TOT","PC_WKGPOP","Q","2018-Q4",67.86973,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q1",67.68928,
"LUX","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.51856,
"MEX","EMP","TOT","PC_WKGPOP","Q","2017-Q4",61.09953,
"MEX","EMP","TOT","PC_WKGPOP","Q","2018-Q1",61.37072,
"MEX","EMP","TOT","PC_WKGPOP","Q","2018-Q2",61.57865,
"MEX","EMP","TOT","PC_WKGPOP","Q","2018-Q3",61.60057,
"MEX","EMP","TOT","PC_WKGPOP","Q","2018-Q4",61.56983,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q1",61.97957,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q2",62.22435,
"MEX","EMP","TOT","PC_WKGPOP","Q","2019-Q3",62.22971,
"NLD","EMP","TOT","PC_WKGPOP","Q","2017-Q4",76.24892,
"NLD","EMP","TOT","PC_WKGPOP","Q","2018-Q1",76.49837,
"NLD","EMP","TOT","PC_WKGPOP","Q","2018-Q2",76.94592,
"NLD","EMP","TOT","PC_WKGPOP","Q","2018-Q3",77.47421,
"NLD","EMP","TOT","PC_WKGPOP","Q","2018-Q4",77.79275,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q1",78.0042,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q2",78.10342,
"NLD","EMP","TOT","PC_WKGPOP","Q","2019-Q3",78.23605,
"NZL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",77.4155,
"NZL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",77.47524,
"NZL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",77.4567,
"NZL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",77.88319,
"NZL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",76.80636,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",77.39599,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.48746,
"NZL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.44159,
"NOR","EMP","TOT","PC_WKGPOP","Q","2017-Q4",74.16496,
"NOR","EMP","TOT","PC_WKGPOP","Q","2018-Q1",74.58342,
"NOR","EMP","TOT","PC_WKGPOP","Q","2018-Q2",74.87354,
"NOR","EMP","TOT","PC_WKGPOP","Q","2018-Q3",74.77614,
"NOR","EMP","TOT","PC_WKGPOP","Q","2018-Q4",75.02567,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q1",75.02726,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.09695,
"NOR","EMP","TOT","PC_WKGPOP","Q","2019-Q3",75.71859,
"POL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",66.61733,
"POL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",66.9718,
"POL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",67.34745,
"POL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",67.5809,
"POL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",67.65807,
"POL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",67.70722,
"POL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",67.9598,
"PRT","EMP","TOT","PC_WKGPOP","Q","2017-Q4",68.82869,
"PRT","EMP","TOT","PC_WKGPOP","Q","2018-Q1",69.1899,
"PRT","EMP","TOT","PC_WKGPOP","Q","2018-Q2",69.66303,
"PRT","EMP","TOT","PC_WKGPOP","Q","2018-Q3",69.9715,
"PRT","EMP","TOT","PC_WKGPOP","Q","2018-Q4",69.90402,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q1",70.12818,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q2",70.24226,
"PRT","EMP","TOT","PC_WKGPOP","Q","2019-Q3",70.81682,
"SVK","EMP","TOT","PC_WKGPOP","Q","2017-Q4",66.49676,
"SVK","EMP","TOT","PC_WKGPOP","Q","2018-Q1",67.00428,
"SVK","EMP","TOT","PC_WKGPOP","Q","2018-Q2",67.22621,
"SVK","EMP","TOT","PC_WKGPOP","Q","2018-Q3",67.89031,
"SVK","EMP","TOT","PC_WKGPOP","Q","2018-Q4",68.20818,
"SVK","EMP","TOT","PC_WKGPOP","Q","2019-Q1",68.51817,
"SVK","EMP","TOT","PC_WKGPOP","Q","2019-Q2",68.22511,
"ESP","EMP","TOT","PC_WKGPOP","Q","2017-Q4",61.58816,
"ESP","EMP","TOT","PC_WKGPOP","Q","2018-Q1",61.7531,
"ESP","EMP","TOT","PC_WKGPOP","Q","2018-Q2",62.31701,
"ESP","EMP","TOT","PC_WKGPOP","Q","2018-Q3",62.59374,
"ESP","EMP","TOT","PC_WKGPOP","Q","2018-Q4",62.90477,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q1",63.10365,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q2",63.29633,
"ESP","EMP","TOT","PC_WKGPOP","Q","2019-Q3",63.22889,
"SWE","EMP","TOT","PC_WKGPOP","Q","2017-Q4",76.96107,
"SWE","EMP","TOT","PC_WKGPOP","Q","2018-Q1",77.23504,
"SWE","EMP","TOT","PC_WKGPOP","Q","2018-Q2",77.51374,
"SWE","EMP","TOT","PC_WKGPOP","Q","2018-Q3",77.54774,
"SWE","EMP","TOT","PC_WKGPOP","Q","2018-Q4",77.83041,
"SWE","EMP","TOT","PC_WKGPOP","Q","2019-Q1",77.70177,
"SWE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.43782,
"CHE","EMP","TOT","PC_WKGPOP","Q","2017-Q4",79.97644,
"CHE","EMP","TOT","PC_WKGPOP","Q","2018-Q1",79.89706,
"CHE","EMP","TOT","PC_WKGPOP","Q","2018-Q2",79.7158,
"CHE","EMP","TOT","PC_WKGPOP","Q","2018-Q3",80.53111,
"CHE","EMP","TOT","PC_WKGPOP","Q","2018-Q4",80.27557,
"CHE","EMP","TOT","PC_WKGPOP","Q","2019-Q1",80.31908,
"CHE","EMP","TOT","PC_WKGPOP","Q","2019-Q2",80.47849,
"TUR","EMP","TOT","PC_WKGPOP","Q","2017-Q4",52.21764,
"TUR","EMP","TOT","PC_WKGPOP","Q","2018-Q1",52.43724,
"TUR","EMP","TOT","PC_WKGPOP","Q","2018-Q2",52.05946,
"TUR","EMP","TOT","PC_WKGPOP","Q","2018-Q3",52.07861,
"TUR","EMP","TOT","PC_WKGPOP","Q","2018-Q4",51.33187,
"TUR","EMP","TOT","PC_WKGPOP","Q","2019-Q1",50.65832,
"TUR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",50.04084,
"GBR","EMP","TOT","PC_WKGPOP","Q","2017-Q4",74.33296,
"GBR","EMP","TOT","PC_WKGPOP","Q","2018-Q1",74.66991,
"GBR","EMP","TOT","PC_WKGPOP","Q","2018-Q2",74.66015,
"GBR","EMP","TOT","PC_WKGPOP","Q","2018-Q3",74.53465,
"GBR","EMP","TOT","PC_WKGPOP","Q","2018-Q4",74.88522,
"GBR","EMP","TOT","PC_WKGPOP","Q","2019-Q1",75.07917,
"GBR","EMP","TOT","PC_WKGPOP","Q","2019-Q2",75.08189,
"USA","EMP","TOT","PC_WKGPOP","Q","2017-Q4",70.27811,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q1",70.53847,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q2",70.66326,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q3",70.72839,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q4",70.97354,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q1",71.0926,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",71.16255,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",71.45784,
"CHL","EMP","TOT","PC_WKGPOP","Q","2017-Q4",62.86269,
"CHL","EMP","TOT","PC_WKGPOP","Q","2018-Q1",62.77174,
"CHL","EMP","TOT","PC_WKGPOP","Q","2018-Q2",62.86589,
"CHL","EMP","TOT","PC_WKGPOP","Q","2018-Q3",62.36971,
"CHL","EMP","TOT","PC_WKGPOP","Q","2018-Q4",62.4355,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q1",62.4192,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q2",62.44131,
"CHL","EMP","TOT","PC_WKGPOP","Q","2019-Q3",62.66859,
"EST","EMP","TOT","PC_WKGPOP","Q","2017-Q4",75.66545,
"EST","EMP","TOT","PC_WKGPOP","Q","2018-Q1",73.91269,
"EST","EMP","TOT","PC_WKGPOP","Q","2018-Q2",74.67855,
"EST","EMP","TOT","PC_WKGPOP","Q","2018-Q3",74.69814,
"EST","EMP","TOT","PC_WKGPOP","Q","2018-Q4",75.78258,
