"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","MEN","PC_WKGPOP","Q","2017-Q4",78.20043,
"AUS","EMP","MEN","PC_WKGPOP","Q","2018-Q1",78.3317,
"AUS","EMP","MEN","PC_WKGPOP","Q","2018-Q2",78.12689,
"AUS","EMP","MEN","PC_WKGPOP","Q","2018-Q3",78.38569,
"AUS","EMP","MEN","PC_WKGPOP","Q","2018-Q4",78.56652,
"AUS","EMP","MEN","PC_WKGPOP","Q","2019-Q1",78.61024,
"AUS","EMP","MEN","PC_WKGPOP","Q","2019-Q2",78.69711,
"AUS","EMP","MEN","PC_WKGPOP","Q","2019-Q3",78.73344,
"AUT","EMP","MEN","PC_WKGPOP","Q","2017-Q4",76.82641,
"AUT","EMP","MEN","PC_WKGPOP","Q","2018-Q1",77.10215,
"AUT","EMP","MEN","PC_WKGPOP","Q","2018-Q2",77.52565,
"AUT","EMP","MEN","PC_WKGPOP","Q","2018-Q3",77.53452,
"AUT","EMP","MEN","PC_WKGPOP","Q","2018-Q4",77.61541,
"AUT","EMP","MEN","PC_WKGPOP","Q","2019-Q1",77.78803,
"AUT","EMP","MEN","PC_WKGPOP","Q","2019-Q2",77.86892,
"BEL","EMP","MEN","PC_WKGPOP","Q","2017-Q4",68.31977,
"BEL","EMP","MEN","PC_WKGPOP","Q","2018-Q1",68.17027,
"BEL","EMP","MEN","PC_WKGPOP","Q","2018-Q2",67.90057,
"BEL","EMP","MEN","PC_WKGPOP","Q","2018-Q3",68.20459,
"BEL","EMP","MEN","PC_WKGPOP","Q","2018-Q4",68.53472,
"BEL","EMP","MEN","PC_WKGPOP","Q","2019-Q1",68.34063,
"BEL","EMP","MEN","PC_WKGPOP","Q","2019-Q2",69.15985,
"CAN","EMP","MEN","PC_WKGPOP","Q","2017-Q4",76.53333,
"CAN","EMP","MEN","PC_WKGPOP","Q","2018-Q1",76.66666,
"CAN","EMP","MEN","PC_WKGPOP","Q","2018-Q2",76.53333,
"CAN","EMP","MEN","PC_WKGPOP","Q","2018-Q3",76.56667,
"CAN","EMP","MEN","PC_WKGPOP","Q","2018-Q4",76.76667,
"CAN","EMP","MEN","PC_WKGPOP","Q","2019-Q1",77.16666,
"CAN","EMP","MEN","PC_WKGPOP","Q","2019-Q2",77.46667,
"CAN","EMP","MEN","PC_WKGPOP","Q","2019-Q3",77.46667,
"CZE","EMP","MEN","PC_WKGPOP","Q","2017-Q4",81.3587,
"CZE","EMP","MEN","PC_WKGPOP","Q","2018-Q1",81.57376,
"CZE","EMP","MEN","PC_WKGPOP","Q","2018-Q2",81.76446,
"CZE","EMP","MEN","PC_WKGPOP","Q","2018-Q3",81.67178,
"CZE","EMP","MEN","PC_WKGPOP","Q","2018-Q4",82.02734,
"CZE","EMP","MEN","PC_WKGPOP","Q","2019-Q1",82.02821,
"CZE","EMP","MEN","PC_WKGPOP","Q","2019-Q2",82.05026,
"DNK","EMP","MEN","PC_WKGPOP","Q","2017-Q4",76.60054,
"DNK","EMP","MEN","PC_WKGPOP","Q","2018-Q1",76.38513,
"DNK","EMP","MEN","PC_WKGPOP","Q","2018-Q2",76.85084,
"DNK","EMP","MEN","PC_WKGPOP","Q","2018-Q3",77.17342,
"DNK","EMP","MEN","PC_WKGPOP","Q","2018-Q4",77.368,
"DNK","EMP","MEN","PC_WKGPOP","Q","2019-Q1",77.90475,
"DNK","EMP","MEN","PC_WKGPOP","Q","2019-Q2",77.70533,
"FIN","EMP","MEN","PC_WKGPOP","Q","2017-Q4",72.23901,
"FIN","EMP","MEN","PC_WKGPOP","Q","2018-Q1",72.82793,
"FIN","EMP","MEN","PC_WKGPOP","Q","2018-Q2",73.16953,
"FIN","EMP","MEN","PC_WKGPOP","Q","2018-Q3",73.79747,
"FIN","EMP","MEN","PC_WKGPOP","Q","2018-Q4",74.077,
"FIN","EMP","MEN","PC_WKGPOP","Q","2019-Q1",73.95151,
"FIN","EMP","MEN","PC_WKGPOP","Q","2019-Q2",74.03328,
"FRA","EMP","MEN","PC_WKGPOP","Q","2017-Q4",68.85842,
"FRA","EMP","MEN","PC_WKGPOP","Q","2018-Q1",68.86873,
"FRA","EMP","MEN","PC_WKGPOP","Q","2018-Q2",68.81579,
"FRA","EMP","MEN","PC_WKGPOP","Q","2018-Q3",68.90148,
"FRA","EMP","MEN","PC_WKGPOP","Q","2018-Q4",68.9868,
"FRA","EMP","MEN","PC_WKGPOP","Q","2019-Q1",68.83337,
"FRA","EMP","MEN","PC_WKGPOP","Q","2019-Q2",68.67601,
"FRA","EMP","MEN","PC_WKGPOP","Q","2019-Q3",68.3803,
"DEU","EMP","MEN","PC_WKGPOP","Q","2017-Q4",79.22688,
"DEU","EMP","MEN","PC_WKGPOP","Q","2018-Q1",79.38912,
"DEU","EMP","MEN","PC_WKGPOP","Q","2018-Q2",79.43972,
