"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",68.84135,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",69.06601,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",69.16886,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",69.18674,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",69.47095,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",69.72674,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",69.8196,
"AUS","EMP","WOMEN","PC_WKGPOP","Q","2019-Q3",70.16818,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",68.39368,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",68.38149,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",68.52798,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",68.65083,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",68.76743,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",69.04903,
"AUT","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",69.03037,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",59.51964,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",60.05559,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",59.71245,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",61.6115,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",61.49535,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",61.07745,
"BEL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",62.04646,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",71.03333,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",70.66666,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",70.76667,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",71.1,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",71.36667,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",71.23333,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",71.56667,
"CAN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q3",71.6,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",66.70592,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",67.07378,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",67.50655,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",67.83814,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",68.10973,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",68.2675,
"CZE","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",67.81874,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",70.70893,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",71.03111,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",71.32565,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",71.30329,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",71.36244,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",71.29126,
"DNK","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",71.86238,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",69.63657,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",69.82902,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",70.94821,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",70.37561,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",71.34178,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",71.34209,
"FIN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",71.38747,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",61.62492,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",61.68471,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",61.80339,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",62.05219,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",62.25095,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",62.34171,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",62.36657,
"FRA","EMP","WOMEN","PC_WKGPOP","Q","2019-Q3",62.11374,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",71.81593,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",71.85999,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",71.93052,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",72.1933,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",72.32895,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",72.47279,
"DEU","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",72.63712,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",44.49887,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",44.6217,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",45.20941,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",45.52602,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",45.78452,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",46.44597,
"GRC","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",47.18685,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",61.53894,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",62.02282,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",62.44665,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",62.26413,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",62.51206,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",62.88692,
"HUN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",62.94156,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",83.08871,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",82.34862,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",81.53975,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",82.87241,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",83.25546,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",83.76141,
"ISL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",81.63667,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",62.94156,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",62.69723,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",63.31829,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",63.44216,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",63.55484,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",64.67882,
"IRL","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",63.69211,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",49.25032,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",49.20493,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",49.66162,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",49.46881,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",49.61549,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",49.94788,
"ITA","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",50.1422,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",68.15623,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",69.00475,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",69.52347,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",69.83842,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",70.16063,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",70.53479,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",70.96313,
"JPN","EMP","WOMEN","PC_WKGPOP","Q","2019-Q3",71.22736,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",57.04347,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",57.11512,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",57.11727,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",57.10173,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",57.30008,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2019-Q1",57.48858,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2019-Q2",57.6538,
"KOR","EMP","WOMEN","PC_WKGPOP","Q","2019-Q3",57.90398,
"LUX","EMP","WOMEN","PC_WKGPOP","Q","2017-Q4",62.25149,
"LUX","EMP","WOMEN","PC_WKGPOP","Q","2018-Q1",63.38167,
"LUX","EMP","WOMEN","PC_WKGPOP","Q","2018-Q2",62.8752,
"LUX","EMP","WOMEN","PC_WKGPOP","Q","2018-Q3",63.54305,
"LUX","EMP","WOMEN","PC_WKGPOP","Q","2018-Q4",63.82948,
